h1,h2,h3,h4,h5,h6,url
404: Page not found,404,404,404,404,404,https://physics.uchicago.edu/page/grad-student-directory/
"Department of Physics,Page Not Found",Some Helpful Tools,No data,No data,No data,No data,https://physics.uchicago.edu/page/grad-student-directory/
404: Page not found,404,404,404,404,404,https://www.stat.uchicago.edu/people/phd-students.shtml
Not Found,No data,No data,No data,No data,No data,https://www.stat.uchicago.edu/people/phd-students.shtml
",,,Tasneem Mandviwala",No data,"10 things you’re definitely guilty of doing on a video call,7 Bollywood movies that will blow your mind,5 fool-proof ways you can learn more about Muslim Americans,Here’s what they REALLY mean when they’re gossiping about you,21 truths only women who wear glasses will understand,10 incredible times Muhammad Ali inspired the world,10 female characters from the last century who need to be real,Here’s what I learned from watching 5 seasons of Game of Thrones in 2 weeks,Company,Information,COME HERE OFTEN?,Company,Information,COME HERE OFTEN?","Follow The Tempest,Discover,Life,Love,News,Now + Beyond,Weddings,Social Justice,Pop Culture,Lookbook,The Tempest Weekly,The Tempest Need/Want/Love,©  2021  THE TEMPEST INC.,©  2021  THE TEMPEST INC.","Gender & Identity,Bollywood,Movies,Love,Humor,Race,Love,TV Shows",No data,https://thetempest.co/author/tasneemmandviwala/
JavaScript is not available.,No data,No data,No data,No data,No data,https://twitter.com/ameeranim
No data,No data,No data,Log In,No data,No data,https://chicago.academia.edu/SoudeepDeb
Facebook,No data,No data,No data,No data,No data,https://www.facebook.com/gauthamreddy/about?lst=100001539709231%3A2908878%3A1481775932&section=education&pnref=about
404: Page not found,404,404,404,404,404,https://faithfullyfeminist.com/contributors/
404 Not Found,No data,No data,No data,No data,No data,https://faithfullyfeminist.com/contributors/
Facebook,No data,No data,No data,No data,No data,https://www.facebook.com/subhadip.chowdhury/about?lst=100001539709231%3A1267731526%3A1481784103&section=education&pnref=about
No data,No data,No data,Log In,No data,No data,https://chicago.academia.edu/AmeeraNimjee
404: Page not found,404,404,404,404,404,http://math.uchicago.edu/~subhadip/
Not Found,No data,No data,No data,No data,No data,http://math.uchicago.edu/~subhadip/
No data,No data,No data,Log In,No data,No data,https://chicago.academia.edu/GauthamReddy
"William Irvine,Severine Atis,Takumi Matsuzawa,Robert Morton,Ephraim Bililign,Yehuda Ganan,Bennett Sessa,Shiv Agrawal,Vishal Soni,Noah P. Mitchell,Jiayi Wu,Sofia Magikiriadou,Lisa Nash,Stéphane Perrard,Martin Scheeler,Hridesh Kedia,Dustin Kleckner,Melissa Fender,Claudia Yao,Diego Matamoros,Sattvic Ray,Seth Musser,JingYang Zheng,Sophie Ettinger,Joseph Mittelstaedt,Rebecca Fishman,Alismari Read,Akaxia Cruz,Watee Srinin,Eric Cho,Jahan Claes,Eric Green,Marcos Mendoza,Jing Miao","Contact Information:,Contact Information:,Contact Information:,Contact Information:,Contact Information:,Contact Information:,Contact Information:,Contact Information:,Went on to:,Went on to:,Went on to:,Went on to:,Went on to:,Went on to:,Went on to:,Went on to:,Went on to:,Went on to:,Went on to:,Went on to:,Went on to:,Went on to:,Went on to:,Went on to:,Went on to:,Went on to:,Went on to:,Went on to:,Went on to:,Went on to:",No data,No data,No data,No data,http://irvinelab.uchicago.edu/people.htm
JavaScript is not available.,No data,No data,No data,No data,No data,https://twitter.com/uajain?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
Ronno Das,"current,contact,publications,talks,other writing,education,past teaching,et cetera","not teaching,office,Zeta statistics and Hadamard functions,Arithmetic statistics on cubic surfaces,Configurations of noncollinear points in the projective plane,Cohomology of the universal smooth cubic surface,The space of cubic surfaces equipped with a line,Coxeter transformation groups and reflection arrangements in smooth manifolds,Noncollinear points in the projective plane,Points and lines on cubic surfaces,The space of cubic surfaces equipped with a line,Single cohomology classes in your area — this last weird trick will shock you!,Simplicial resolution a la Vassiliev and counting points,Artin groups related to reflections on manifolds,UChicago pizza seminar,topic proposal,masters thesis,notes,courses taught,teaching assistant/tutor,mentored in directed reading program,mentored REU students,t-shirt designs,beer skits,git repositories,pizza seminar",No data,No data,No data,http://math.uchicago.edu/~ronno/
"Department of Mathematics,People",Filter by:,",Shmuel Weinberger,,Andrew MacLeish Distinguished Professor of Mathematics, Department Chair,,,Santiago Chaves Aguilar,,Graduate Student,,,Colin Aitken,,Graduate Student,,,Iqra Altaf,,Graduate Student,,,Meghan Anderson,,Lecturer,,,Faidon Andriopoulos,,Graduate Student,,,Chloe Avery,,Graduate Student,,,Eray Aydin,,Graduate Student,,,László Babai,,George and Elizabeth Yovovich Professor,,,Guillaume Bal,,Professor,,,Ishan Banerjee,,Graduate Student,,,Chengyang Bao,,Graduate Student,,,Polina Baron,,,Owen Barrett,,Graduate Student,,,Alexander Beilinson,,David and Mary Winton Green University Professor,,,Lucas Benigni,,Dickson Instructor,,,Mark Bly,,Assistant Instructional Professor,,,John Boller,,Senior Lecturer, Co-Director of Undergraduate Studies,,,Francisc Bozgan,,Graduate Student,,,Wenjun (Ruby) Cai,,Graduate Student,,,Danny Calegari,,Professor,,,Frank Calegari,,Professor,,,Guher Camliyurt,,Dickson Instructor,,,Stephen Cantrell,,,Elliot Cartee,,,Mark Cerenzia,,Dickson Instructor,,,Kapil Chandran,,,Alan Chang,,Graduate Student,,,Jingwen Chen,,Graduate Student,,,Binglu Chen,,Graduate Student,,,Lvzhou (Joe) Chen,,Graduate Student,,,Nixia Chen,,Graduate Student,,,Xiaodong Chen,,Graduate Student,,,Shiva Chidambaram,,Graduate Student,,,Adrian Chun Pong Chu,,Graduate Student,,,Ping Ngai (Brian) Chung,,Graduate Student,,,William Cooperman,,Graduate Student,,,Kevin Corlette,,Professor, Director of the Institute for Mathematical and Statistical Innovation,,,Jack D. Cowan,,Professor,,,Marianna Csörnyei,,Professor,,,Lucas Culler,,Senior Lecturer,,,Ignacio Darago,,Graduate Student,,,Ronno Das,,Graduate Student,,,Kale  Davies,,Assistant Instructional Professor,,,Yucheng Deng,,Graduate Student,,,Charles Devlin VI,,,Jonathan DeWitt,,Graduate Student,,,Andrea Dotto,,Dickson Instructor,,,Margaret Doucette,,Graduate Student,,,Vladimir Drinfeld,,Harry Pratt Judson Distinguished Service Professor,,,Todd  Dupont,,Professor,,,Rosemary Elliott Smith,,Graduate Student,,,Matthew Emerton,,Professor,,,Alex Eskin,,Arthur Holly Compton Distinguished Service Professor,,,Benson Farb,,Professor,,,Robert Fefferman,,Max Mason Distinguished Service Professor,,,Simion Filip,,Associate Professor,,,Mikolaj Fraczyk,,,Ed Friedman,,Systems Administrator,,,Takako Fukaya,,Senior Research Associate,,,Judy Garza,,Departmental Administrator,,,Pedro Gaspar,,Dickson Instructor,,,Micah Gay,,,Nikolaos Georgakopoulos,,Graduate Student,,,Mathilde Gerbelli-Gauthier,,Graduate Student,,,Victor Ginzburg,,Professor,,,Claudio Gonzales,,Graduate Student,,,Pallav Goyal,,Graduate Student,,,Nikolay Grantcharov,,Graduate Student,,,Chao Gu,,Graduate Student,,,Ewain Gwynne,,Associate Professor,,,Thomas Hameister,,Graduate Student,,,Reid Harris,,Graduate Student,,,Kornelia Hera,,Dickson Instructor,,,Daniel Hess,,Assistant Instructional Professor,,,Denis Hirschfeldt,,Professor,,,Peng Hui How,,Graduate Student,,,Sebastian Hurtado-Salazar,,Assistant Professor,,,Peter James Huxford,,Graduate Student,,,Trevor Hyde,,Dickson Instructor,,,DeVon Marcus Ingram,,Graduate Student,,,Andreea Iorga,,Graduate Student,,,Seung uk Jang,,Graduate Student,,,Kasia Jankiewicz,,Dickson Instructor,,,Sehyun Ji,,,Boming Jia,,Graduate Student,,,Ruojing Jiang,,Graduate Student,,,Kazuya Kato,,Samuel K. Allison Distinguished Service Professor,,,Carlos Kenig,,Louis Block Distinguished Service Professor,,,Bohdan Kivva,,Graduate Student,,,Hana Jia Kong,,Graduate Student,,,Yulia Kotelnikova,,Graduate Student,,,Casimir  Kothari,,,Iason Kountouridis,,Graduate Student,,,Justin Lanier,,,Gregory F. Lawler,,George Wells Beadle Distinguished Service Professor,,,Brian Lawrence,,Dickson Instructor,,,Claude LeBris,,Visiting Professor,,,Roger Lee,,Associate Professor,,,Hao (Billy) Lee,,Graduate Student,,,Eun Bi (Seraphina) Lee,,Graduate Student,,,Yu Li,,Graduate Student,,,(Iris) Yunxuan Li,,Graduate Student,,,Weinan Lin,,Graduate Student,,,Pierre-Louis Lions,,Visiting Professor,,,Bingjin Liu,,Graduate Student,,,Yutao Liu,,Graduate Student,,,Kun Liu,,,Eduard Looijenga,,Visiting Professor,,,Jinyue Luo,,Graduate Student,,,Yao Luo,,Graduate Student,,,Xinchun Ma,,Graduate Student,,,Maryanthe Malliaris,,Professor,,,Carlos Andres Marcelo Sevran,,,Olivier Martin,,Graduate Student,,,Howard Masur,,Visiting Professor,,,Akhil Mathew,,Clay Fellow,,,Henrik Matthiesen,,Dickson Instructor,,,J. Peter May,,Professor,,,Nathaniel Mayer,,Graduate Student,,,Liam Mazurowski,,Graduate Student,,,Adan Medrano Martin del Campo,,Graduate Student,,,Olga Medrano Martin del Campo,,,Dana Mendelson,,Assistant Professor,,,Frank Merle,,Visiting Professor,,,Cornelia Mihaila,,Dickson Instructor,,,Nikiforos Mimikos-Stamatopoulos,,Graduate Student,,,Daniel Mitsutani,,Graduate Student,,,Lucia Mocz,,Dickson Instructor,,,MurphyKate Montee,,Graduate Student,,,Peter Morfe,,Graduate Student,,,Benedict Morrissey,,,Joshua Mundinger,,Graduate Student,,,Sebastian Munoz,,Graduate Student,,,Michael Neaton,,Graduate Student,,,André Neves,,Professor,,,Bảo Châu Ngô,,Francis and Rose Yuen Distinguished Service Professor,,,Tung Tho Nguyen,,Graduate Student,,,Abdalla Dali Nimer,,Dickson Instructor,,,Madhav Nori,,Professor,,,Benjamin O'Connor,,Graduate Student,,,Davi Obata,,,Lue Pan,,Dickson Instructor,,,Wenyu Pan,,Dickson Instructor,,,Shuo Pang,,Graduate Student,,,Soohyun Park,,Graduate Student,,,Kiho Park,,Graduate Student,,,Gabriela Pinto,,Graduate Student,,,Nikki Pitcher,,Assistant Instructional Professor,,,Leonid  Polterovich,,Visiting Professor,,,Gal Porat,,Graduate Student,,,Chloe Marie Jeanne Postel-Vinay,,,Konstantinos Psaromiligkos,,Graduate Student,,,Samuel Quinn,,Graduate Student,,,Dylan Quintana,,Graduate Student,,,Antoni Rangachev,,Dickson Instructor,,,Alexander Razborov,,Andrew McLeish Distinguished Service Professor,,,Sarah Reitzes,,Graduate Student,,,Megan Roda,,Graduate Student,,,Andrea Rosalez,,Administrative Assistant,,,Nikita Rozenblyum,,Assistant Professor,,,Daniil Rudenko,,Assistant Professor,,,Mariya Sardarli,,Graduate Student,,,Karl Schaefer,,Graduate Student,,,Kevin Schreve,,Dickson Instructor,,,Isabella Scott,,Graduate Student,,,Aritra Sen,,,Linus Setiabrata,,,Beniada Shabani,,Dickson Instructor,,,XiaoLin (Danny) Shi,,Dickson Instructor,,,Elizaveta Shuvaeva,,,Luis  Silvestre,,Professor,,,Aaron Slipper,,Graduate Student,,,Charles Smart,,Professor,,,Panagiotis Souganidis,,Charles H. Swift Distinguished Service Professor,,,Jitka Stehnova,,Senior Lecturer, Co-Director of Undergraduate Studies,,,Daniel Stern,,,James Taylor Stevens,,Graduate Student,,,Eric Stubley,,Graduate Student,,,Boyang Su,,Graduate Student,,,Ao Sun,,,Jin Woo Sung,,Graduate Student,,,Cindy Tan,,,Noah Taylor,,Graduate Student,,,Phil Tosteson,,Dickson Instructor,,,Giang (Zana) Tran,,Graduate Student,,,Minh-Tam Trinh,,Graduate Student,,,Laurie Wail,,Mathematics - Student Services,,,Stephanie Walthes,,Secretary for Undergraduate Studies,,,Dolores Walton,,Graduate Student,,,Anthony Wang,,Graduate Student,,,Xiao (Griffin) Wang,,Graduate Student,,,Oliver Wang,,Graduate Student,,,Yulun Wang,,Graduate Student,,,Pranjal Pandurang Warade,,Graduate Student,,,Sidney Webster,,Professor,,,Lynette Whalum,,Reservations and Faculty Secretary,,,Amie Wilkinson,,Professor,,,Chris Wilson,,Graduate Student,,,Mat Wimberly,,Business Coordinator,,,Xuan Wu,,,Livia Xu,,,Yuhui Yao,,,Stephen Yearwood,,Graduate Student,,,Selma  Yildirim,,Assistant Instructional Professor,,,John Zekos,,Systems Administrator,,,Albert Zhang,,Graduate Student,,,Yichi Zhang,,,Zihui Zhao,,Dickson Instructor,,,Jinping Zhuge,,Dickson Instructor,,,Sarah Ziesler,,Senior Lecturer,,,Robert Zimmer,,Professor, President of the University,,,Jennifer Zimmerman,,Education Outreach Specialist,,,Antonios Zitridis,,Graduate Student,,,Seyed Zoalroshd,,Assistant Instructional Professor,,,Foling Zou,,Graduate Student,","Role,Research Areas","Shmuel Weinberger,Santiago Chaves Aguilar,Colin Aitken,Iqra Altaf,Meghan Anderson,Faidon Andriopoulos,Chloe Avery,Eray Aydin,László Babai,Guillaume Bal,Ishan Banerjee,Chengyang Bao,Polina Baron,Owen Barrett,Alexander Beilinson,Lucas Benigni,Mark Bly,John Boller,Francisc Bozgan,Wenjun Cai,Danny Calegari,Frank Calegari,Guher Camliyurt,Stephen Cantrell,Elliot Cartee,Mark Cerenzia,Kapil Chandran,Alan Chang,Jingwen Chen,Binglu Chen,Lvzhou Chen,Nixia Chen,Xiaodong Chen,Shiva Chidambaram,Adrian Chun Pong Chu,Ping Ngai Chung,William Cooperman,Kevin Corlette,Jack D. Cowan,Marianna Csörnyei,Lucas Culler,Ignacio Darago,Ronno Das,Kale Davies,Yucheng Deng,Charles Devlin VI,Jonathan DeWitt,Andrea Dotto,Margaret Doucette,Vladimir Drinfeld,Todd Dupont,Rosemary Elliott Smith,Matthew Emerton,Alex Eskin,Benson Farb,Robert Fefferman,Simion Filip,Mikolaj Fraczyk,Ed Friedman, Ph.D.,Takako Fukaya,Judy Garza,Pedro Gaspar,Micah Gay,Nikolaos Georgakopoulos,Mathilde Gerbelli-Gauthier,Victor Ginzburg,Claudio Gonzales,Pallav Goyal,Nikolay Grantcharov,Chao Gu,Ewain Gwynne,Thomas Hameister,Reid M. Harris,Kornelia Hera,Daniel Hess,Denis Hirschfeldt,Peng Hui How,Sebastian Hurtado-Salazar,Peter James Huxford,Trevor Hyde,DeVon Marcus Ingram,Andreea Iorga,Seung uk Jang,Kasia Jankiewicz,Sehyun Ji,Boming Jia,Ruojing Jiang,Kazuya Kato,Carlos Kenig,Bohdan Kivva,Hana Jia Kong,Yulia Kotelnikova,Casimir Kothari,Iason Kountouridis,Justin Lanier,Gregory F. Lawler,Brian Lawrence,Claude LeBris,Roger Lee,Hao Lee,Eun Bi (Seraphina) Lee,Yu Li,Yunxuan Li,Weinan Lin,Pierre-Louis Lions,Bingjin Liu,Yutao Liu,Kun Liu,Eduard Looijenga,Jinyue Luo,Yao Luo,Xinchun Ma,Maryanthe Malliaris,Carlos Andres Marcelo Serván,Olivier Martin,Howard Masur,Akhil Mathew,Henrik Matthiesen,J. Peter May,Nathaniel Katkin Mayer,Liam Mazurowski,Adan Medrano Martin del Campo,Olga Medrano Martin del Campo,Dana Mendelson,Frank Merle,Cornelia Mihaila,Nikiforos Mimikos-Stamatopoulos,Daniel Mitsutani,Lucia Mocz,MurphyKate Montee,Peter Sable Morfe,Benedict Morrissey,Joshua Mundinger,Sebastian Munoz,Michael Neaton,André Neves,Bảo Châu Ngô,Tung Tho Nguyen,Abdalla Dali Nimer,Madhav Nori,Benjamin G. O’Connor,Davi Obata,Lue Pan,Wenyu Pan,Shuo Pang,Soohyun Park,Kiho Park,Gabriela Pinto,Nikki Pitcher,Leonid Polterovich,Gal Porat,Chloe Marie Jeanne Postel-Vinay,Konstantinos (Kostas) Psaromiligkos,Samuel Quinn,Dylan Quintana,Antoni Rangachev,Alexander Razborov,Sarah Reitzes,Megan Jacqueline Roda,Andrea Rosalez,Nikita Rozenblyum,Daniil Rudenko,Mariya Sardarli,Karl Schaefer,Kevin Schreve,Isabella Scott,Aritra Sen,Linus Setiabrata,Beniada Shabani,XiaoLin (Danny) Shi,Elizaveta Shuvaeva,Luis Silvestre,Aaron Slipper,Charles Smart,Panagiotis Souganidis,Jitka Stehnova,Daniel Stern,James Taylor Stevens,Eric Stubley,Boyang Su,Ao Sun,Jin Woo Sung,Cindy Tan,Noah Taylor,Phil Tosteson,Giang Tran (Zana Chan),Minh-Tam Trinh,Laurie Wail,Stephanie Walthes,Dolores Anna Walton,Anthony Yuming Wang,Xiao (Griffin) Wang,Oliver Wang,Yulun Wang,Pranjal Pandurang Warade,Sidney Webster,Lynette Whalum,Amie Wilkinson,Chris Wilson,Mat Wimberly,Xuan Wu,Livia Xu,Yuhui Yao,Stephen Yearwood,Selma Yildirim,John Zekos,Albert Zhang,Yichi Zhang,Zihui Zhao,Jinping Zhuge,Sarah Ziesler,Robert Zimmer,Jennifer R. Zimmerman,Antonios Zitridis,Seyed Zoalroshd,Foling Zou",No data,https://mathematics.uchicago.edu/people/
